03-12-2025 15:37:34 RAM 4461/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [8%@1189,11%@1190,12%@1190,6%@1190,10%@1189,5%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@39.4C AO@39C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4921mW VDD_CPU_GPU_CV 614mW/698mW VDD_SOC 1063mW/1097mW
03-12-2025 15:37:37 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [11%@1189,3%@1191,14%@1189,11%@1190,6%@1193,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@39.25C AO@39C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4917mW VDD_CPU_GPU_CV 614mW/695mW VDD_SOC 1063mW/1096mW
03-12-2025 15:37:40 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [9%@1419,7%@1420,4%@1189,4%@1185,22%@1189,7%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39C thermal@39.25C AO@38.5C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4911mW VDD_CPU_GPU_CV 573mW/692mW VDD_SOC 1063mW/1095mW
03-12-2025 15:37:43 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [9%@1189,7%@1189,5%@1191,5%@1190,23%@1191,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 6%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@38.9C AO@38.5C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4908mW VDD_CPU_GPU_CV 614mW/690mW VDD_SOC 1063mW/1094mW
03-12-2025 15:37:46 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [8%@1191,3%@1185,4%@1190,11%@1190,15%@1195,17%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39C thermal@38.9C AO@38.5C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4902mW VDD_CPU_GPU_CV 573mW/687mW VDD_SOC 1063mW/1094mW
03-12-2025 15:37:49 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [9%@1190,7%@1188,5%@1189,16%@1190,12%@1189,9%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@39.05C AO@39C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4900mW VDD_CPU_GPU_CV 655mW/686mW VDD_SOC 1063mW/1093mW
03-12-2025 15:37:52 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [9%@1190,2%@1190,13%@1190,25%@1189,7%@1190,6%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39.5C thermal@39.2C AO@39C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4899mW VDD_CPU_GPU_CV 655mW/685mW VDD_SOC 1063mW/1092mW
03-12-2025 15:37:55 RAM 4463/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [9%@1264,7%@1189,9%@1190,8%@1195,22%@1190,5%@1191] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@40C CPU@39.5C thermal@39.4C AO@39.5C GPU@38.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4897mW VDD_CPU_GPU_CV 655mW/684mW VDD_SOC 1063mW/1091mW
03-12-2025 15:37:58 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [11%@1245,20%@1266,7%@1266,10%@1419,9%@1420,5%@1422] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.9C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4896mW VDD_CPU_GPU_CV 696mW/684mW VDD_SOC 1063mW/1091mW
03-12-2025 15:38:01 RAM 4462/6854MB (lfb 46x4MB) SWAP 66/19811MB (cached 0MB) CPU [14%@1188,18%@1189,2%@1190,7%@1190,9%@1189,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@40.5C CPU@40C thermal@39.9C AO@39.5C GPU@39C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4896mW VDD_CPU_GPU_CV 696mW/685mW VDD_SOC 1104mW/1091mW
