03-13-2025 13:42:00 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [13%@1190,7%@1189,11%@1189,7%@1191,9%@1189,11%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@45C CPU@44.5C thermal@44.4C AO@44.5C GPU@43.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4999mW VDD_CPU_GPU_CV 655mW/759mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:03 RAM 3873/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1190,10%@1190,5%@1190,7%@1190,6%@1190,4%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@44.05C AO@44C GPU@43C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4995mW VDD_CPU_GPU_CV 655mW/756mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:06 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [19%@1190,16%@1189,8%@1190,10%@1190,10%@1190,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44.5C CPU@44C thermal@43.75C AO@43.5C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 4956mW/4994mW VDD_CPU_GPU_CV 737mW/755mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:09 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [10%@1190,4%@1191,8%@1189,8%@1190,15%@1190,8%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@44C CPU@44C thermal@43.4C AO@43C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4991mW VDD_CPU_GPU_CV 655mW/752mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:12 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [14%@1190,10%@1190,5%@1191,7%@1190,7%@1190,6%@1184] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43.5C thermal@43.2C AO@43C GPU@42.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4987mW VDD_CPU_GPU_CV 655mW/750mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:15 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [13%@1420,9%@1420,3%@1420,9%@1420,14%@1420,9%@1420] EMC_FREQ 0%@1600 GR3D_FREQ 7%@[114] VIC_FREQ 601 APE 150 AUX@43.5C CPU@43C thermal@42.9C AO@43C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4915mW/4986mW VDD_CPU_GPU_CV 696mW/748mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:18 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1190,18%@1190,9%@1188,17%@1189,13%@1188,13%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@43C thermal@42.55C AO@42.5C GPU@42C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4983mW VDD_CPU_GPU_CV 655mW/746mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:21 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [15%@1191,10%@1190,1%@1191,2%@1188,15%@1190,8%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@43C CPU@42.5C thermal@42.4C AO@42.5C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4980mW VDD_CPU_GPU_CV 655mW/744mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:24 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [18%@1190,15%@1191,6%@1190,2%@1190,7%@1189,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42.5C thermal@42.4C AO@42.5C GPU@41.5C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4976mW VDD_CPU_GPU_CV 655mW/741mW VDD_SOC 1104mW/1108mW
03-13-2025 13:42:27 RAM 3874/6854MB (lfb 3x4MB) SWAP 199/19811MB (cached 46MB) CPU [22%@1190,16%@1191,5%@1190,7%@1190,12%@1189,17%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 8%@[114] VIC_FREQ 601 APE 150 AUX@42.5C CPU@42.5C thermal@42.05C AO@42C GPU@41C iwlwifi@36C PMIC@50C VDD_IN 4874mW/4974mW VDD_CPU_GPU_CV 655mW/739mW VDD_SOC 1104mW/1107mW
