03-13-2025 06:38:18 RAM 4840/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [19%@1266,13%@1264,11%@1267,5%@1343,10%@1342,9%@1415] EMC_FREQ 0%@1600 GR3D_FREQ 20%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39C thermal@39.05C AO@38.5C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4833mW/4829mW VDD_CPU_GPU_CV 655mW/628mW VDD_SOC 1063mW/1085mW
03-13-2025 06:38:21 RAM 4840/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [12%@1187,4%@1189,8%@1185,4%@1190,12%@1189,4%@1184] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39C thermal@38.9C AO@38.5C GPU@38C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4826mW VDD_CPU_GPU_CV 573mW/627mW VDD_SOC 1063mW/1084mW
03-13-2025 06:38:24 RAM 4842/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [12%@1189,5%@1188,6%@1189,7%@1190,6%@1262,12%@1266] EMC_FREQ 0%@1600 GR3D_FREQ 10%@[114] VIC_FREQ 601 APE 150 AUX@39.5C CPU@39C thermal@38.75C AO@38.5C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4825mW VDD_CPU_GPU_CV 573mW/626mW VDD_SOC 1063mW/1084mW
03-13-2025 06:38:27 RAM 4849/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [15%@1194,4%@1189,8%@1190,11%@1190,16%@1190,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@39C thermal@38.4C AO@38.5C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4956mW/4828mW VDD_CPU_GPU_CV 737mW/628mW VDD_SOC 1063mW/1083mW
03-13-2025 06:38:30 RAM 4848/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [15%@1192,6%@1188,4%@1195,4%@1189,9%@1190,9%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@38.5C thermal@38.4C AO@38.5C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4825mW VDD_CPU_GPU_CV 573mW/627mW VDD_SOC 1063mW/1083mW
03-13-2025 06:38:33 RAM 4850/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [18%@1190,11%@1190,4%@1190,3%@1190,5%@1188,3%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 14%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@39C thermal@38.4C AO@38C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4825mW VDD_CPU_GPU_CV 614mW/627mW VDD_SOC 1063mW/1083mW
03-13-2025 06:38:36 RAM 4848/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [16%@1187,8%@1188,1%@1190,1%@1190,8%@1191,8%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@38.5C thermal@38.4C AO@38C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4669mW/4821mW VDD_CPU_GPU_CV 532mW/625mW VDD_SOC 1063mW/1082mW
03-13-2025 06:38:39 RAM 4852/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [24%@1190,25%@1191,11%@1190,13%@1190,13%@1190,22%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@38.5C thermal@38.4C AO@38C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4792mW/4821mW VDD_CPU_GPU_CV 614mW/624mW VDD_SOC 1063mW/1082mW
03-13-2025 06:38:42 RAM 4854/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [12%@1245,5%@1420,6%@1189,4%@1189,7%@1190,10%@1189] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@38.5C thermal@38.2C AO@38C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4751mW/4819mW VDD_CPU_GPU_CV 573mW/623mW VDD_SOC 1063mW/1081mW
03-13-2025 06:38:45 RAM 4853/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [16%@1189,9%@1190,2%@1190,3%@1190,3%@1189,8%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@39C CPU@38.5C thermal@38.25C AO@38C GPU@37.5C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4817mW VDD_CPU_GPU_CV 573mW/622mW VDD_SOC 1063mW/1081mW
03-13-2025 06:38:48 RAM 4850/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [19%@1418,15%@1418,4%@1189,7%@1191,12%@1189,11%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@38.5C CPU@38C thermal@38.2C AO@38C GPU@37C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4815mW VDD_CPU_GPU_CV 573mW/621mW VDD_SOC 1063mW/1081mW
03-13-2025 06:38:51 RAM 4851/6854MB (lfb 6x1MB) SWAP 240/19811MB (cached 38MB) CPU [18%@1190,13%@1190,1%@1190,2%@1190,3%@1190,8%@1190] EMC_FREQ 0%@1600 GR3D_FREQ 0%@[114] VIC_FREQ 601 APE 150 AUX@38.5C CPU@38.5C thermal@37.9C AO@38C GPU@37C iwlwifi@36C PMIC@50C VDD_IN 4710mW/4813mW VDD_CPU_GPU_CV 573mW/620mW VDD_SOC 1063mW/1080mW
